id,prod
102263,1026677
102263,1026779
102263,1080487
102263,1090701
102263,1093195
102263,1093595
102263,1095745
102263,1097965
102263,1149877
102263,1149878
102263,1151332
102263,1160582
102335,969885
102335,1081826
104289,900927
104289,1018287
106441,1086043
106441,1090763
106441,1091138
106441,1091145
106441,1091147
106441,1091169
106441,1091171
106441,1091172
106441,1091174
106441,1091411
106441,1092068
106441,1092079
106441,1092091
107947,907140
107947,941756
107947,1048807
114984,1010260
121448,1069173
122578,1120783
123843,1065239
123843,1065240
30987,436490
33872,870495
34676,332683
34676,453592
34676,843396
34676,843397
34676,843402
34676,843437
34676,843440
34676,843442
34676,843443
34676,843552
34676,843554
34676,843555
34676,843556
34676,843557
34676,843558
34676,843559
34676,843560
34676,843562
34676,843564
34676,968914
91831,756636
91831,1061663
91831,1141527
95971,869653
95971,905422
95971,1074110
98512,824521
98512,827046
98512,828442
98512,849191
98512,874300
99607,842037
99607,846823
99607,1072297
