id,prod
102263,1100339
102263,1103745
102263,1149877
102263,1165523
102335,1081810
102335,1081826
103648,873629
104162,1039672
106441,1086043
106441,1090763
106441,1091138
106441,1091145
106441,1091147
106441,1091169
106441,1091171
106441,1091172
106441,1091174
106441,1091411
106441,1092068
106441,1092079
106441,1092091
114984,1010260
114984,1014522
121448,1069173
122578,1120783
122578,1137747
123843,1065239
123843,1065240
30987,436490
91831,895417
91831,1061663
91831,1141527
91831,1153055
95971,821648
95971,869653
95971,872887
95971,905422
95971,1038691
95971,1064309
95971,1074110
95971,1137775
95971,1140812
