"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
1013014,"Deluxe Private Tour: Hita, AOT Statues and Onsen from Fukuoka","Step into the world of Attack on Titan with a private full-day tour from Fukuoka to Hita and Ōyama — the hometown of creator Hajime Isayama. This unique experience takes you far beyond anime merchandise, straight to the heart of the story’s origins. You'll visit two official Attack on Titan museums, multiple life-size bronze statues including Levi, Eren, Mikasa, Armin, and more, and explore real locations that inspired the series. Travel comfortably in a private car with your own English-speaking driver-guide who’s happy to stop for photos or take small detours. No planning required — just show up, relax, and immerse yourself in the anime world you love.<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2025,5,13,16,56,11,657983009],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""nl""],""displayLanguages"":[]}]}",33.58337101,130.3251162,819-0006,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F31854def-895b-4a6f-acf5-b361b3ca93a2.jpg
1014154,"Deluxe Private Tour: Mt. Aso, One Piece Statues and Shrine Visit","Hop in for an unforgettable adventure from Fukuoka to Kumamoto! This private deluxe tour is all about freedom, fun and discovery. Cruise through the countryside with your personal guide, your music on the speakers, and the freedom to stop anytime for photos or hidden gems. Feel the thrill at Mount Aso, Japan’s most active volcano, and strike a pose with all 10 One Piece statues scattered across the region — a perfect mix of pop culture and epic views. Take a peaceful moment at a local shrine, then wrap up your day with a steaming bowl of Kumamoto’s famous ramen at a legendary flagship shop. Whether you’re a nature lover, anime fan, foodie, or just want a unique road trip in Japan, this tour has something for everyone — and it's all on your terms.<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,19,15,19,21,916038336],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""nl""],""displayLanguages"":[]}]}",33.59057105,130.4218021,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fa43e0522-efad-4a39-aa1e-91c7a057b0a8.jpg
1017311,Discover Kyushu Like a Local – Tailored Just for You,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Ready to ditch the typical tourist trail and dive into the real heart of Kyushu? Join us on a private, custom-designed tour for up to 3 people, where you set the vibe. Whether you&#39;re into ancient shrines, anime spots, wild nature, mountain hideaways, or secret pottery villages, we’ll craft your perfect day trip based on what you love most.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">We’ll start from Fukuoka City and take you anywhere across Kyushu—urban or rural, famous or completely off the radar. Think of this as your local friend showing you around, not your average tour guide. You&#39;ll enjoy breathtaking views only locals know, plus a delicious meal at a hidden gem of a restaurant along the way.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">The best part? We handle everything: free pick-up, drop-off, and a fully personalized 8 to 12-hour adventure you’ll never forget.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Let’s make your Kyushu story one of a kind.<br />Are you ready?</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,26,11,41,43,843914757],""guidanceType"":""GUIDED"",""languages"":[""nl"",""en"",""fr""],""displayLanguages"":[]}]}",33.59057105,130.4218021,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F31ccd2aa-8fa6-4a8d-89b1-163cad967a9f.jpeg
1030052,Fukuoka: Luxe Private Attack on Titan Tour to Hita and Ōyama,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Join us on an unforgettable full-day private tour from Fukuoka, where anime, nature, and Japanese culture blend into one epic journey. This deluxe <em>Attack on Titan</em> experience is perfect for fans and curious travelers alike, offering exclusive access to creator Hajime Isayama’s hometown and the landscapes that inspired one of the world’s most iconic anime series.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">We start our adventure with a comfortable morning drive out of the city toward Hita, nestled in the mountains of Ōita Prefecture. Our first stop is the official <em>Attack on Titan</em> museum; Here, you’ll discover rare concept art, character designs, and handwritten notes from Isayama himself, offering a glimpse into how the world of Titans was brought to life.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Just a short ride away, we arrive at Hita Station to visit the powerful bronze statue of Captain Levi, standing tall and heroic. It&#39;s a must-stop for photos and a fan-favorite moment. Before we leave Hita, we’ll visit a small specialty store where you can pick up local treats like <em>Attack on Titan</em>-themed ramune soda and artisan soy sauces made right in the region — perfect souvenirs or gifts.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Next, we take a step back in time at Kangien, the oldest public school in Japan. This historical site is not only beautiful but rich in cultural significance, offering insight into the educational values that shaped the area’s legacy. Then it’s time for a well-deserved lunch at Konoha Garten, a hidden countryside restaurant and farmers’ market where you’ll enjoy a fresh, locally prepared meal made with seasonal ingredients.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">After lunch, we head deeper into the mountains to Ōyama Dam, home to the stunning statues of Eren, Mikasa, and Armin. Walking across the dam, surrounded by dramatic cliffs and calm waters, you’ll truly feel the scale and emotional weight of the series. This location perfectly captures the essence of <em>Attack on Titan’s</em> grand, haunting scenery.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">In Ōyama town, we visit the second <em>Attack on Titan</em> museum, filled with even more exclusive materials and displays, deepening your connection to the series and its roots. From there, we take a short scenic drive to the hidden Jion no Taki waterfall — a peaceful natural spot that offers a quiet moment to reflect and enjoy the beauty of rural Japan.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">To finish the day, we unwind with a relaxing private bath at Umenoyu Onsen. Let the warm, mineral-rich waters soak away your stress while you take in the mountain views — a perfect, peaceful ending to a packed day of discovery.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">We’ll return to Fukuoka in the evening, with your camera full of memories and your heart full of adventure. Everything is included in the price: lunch, entrance fees, tolls, gasoline, and a private English-speaking guide/driver. Music and photo stops are totally up to you — it&#39;s your journey, your way.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,5,24,3,28,14,967566518],""guidanceType"":""GUIDED"",""languages"":[""en"",""fr"",""nl"",""ja""],""displayLanguages"":[]}]}",33.59057105,130.4218021,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F3db8500c-b8c6-41d7-b5f7-a9a237f8aa11.jpeg
1058757,All Attack on Titan Sites and Forest Adventure Private Tour,"This isn’t just a sightseeing tour—it’s a fully immersive Attack on Titan road trip through the hometown of creator Hajime Isayama. You’ll explore exclusive AOT locations, enjoy insider insights, and travel in comfort with a personal guide who’s just as passionate about the series as you are.<br/><br/>Unlike public tours, this private experience gives you the freedom to stop for photos, choose your music, and move at your own pace. From hidden gems like the 10th anniversary tree to thrilling extras like the Forest Adventure zipline, every detail has been carefully chosen for superfans.<br/><br/>Everything’s included—drinks, tolls, fuel, entry fees—so you can relax and focus on making unforgettable memories in the world of Attack on Titan.<br/><br/>Whether you're traveling solo or with fellow Scouts, this is the ultimate tribute tour you’ll be talking about for years.","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,17,23,59,52,282307275],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""nl""],""displayLanguages"":[]}]}",33.59057105,130.4218021,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F4aebf8e7-5a9d-44a3-9801-f0463d1218e8.jpg
