"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
883767,着物でお出かけ,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">( 10月&#xff5e;&#xff16;月開催&#xff09;</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">お好きな着物を着て、そのままお出かけできるプランです。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">okeikoJapanでは、色・柄・大きさ、さまざまな着物を取り揃えています。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">ぜひお好みの一着を見つけてください。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">肌着、足袋、帯、帯揚げ、髪飾り、草履、バッグなど、必要なものはすべてご用意しております。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">&#xff08;ヘアアレンジはお客様でお願いいたします&#xff09;</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">男性、女性ともにご利用可能です。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">着物をお選びいただいてから着付け終了まで約20分&#xff5e;30分。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">四季折々の葉や花々が美しい徳寿寺の庭園で、ぜひ写真をお撮りください。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">夏は青もみじ、秋は紅葉が楽しめます。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">スタッフによる撮影も可能です。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">撮影後はお荷物をokeikoJapanに預けて、ゆっくり宮島散策をお楽しみください。<br />&#xff08;16時までにはお戻りください。&#xff09; </p>",,34.3013398,132.3251955,739-0588,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F2da43a24-b3c5-4a39-b54d-d7c05a67fe5e.jpeg
883928,Kimono and Tea Ceremony in Miyajima,"Away from the tourist spot, enjoy quiet and relaxing atmosphare of 300-year-old temple. Experience Japanese traditional culture with kimono in the special setting will stay in your memory for long time. <br/><br/>Let start the activity with dressing up. We have more than 100 kimono to choose from. Choose the favorite one, we will have everything you need to dress up.<br/><br/>Then enjoy tea ceremony. Learn how to drink the Matcha tea with certain manner while seeing tea ceremony conducted by tea master. Also learn how to make Matcha tea and taste your own tea. Tea is always served with sweet.<br/><br/>During the lessons staff will take pictures. Guests can get them by answering our questionnaire.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,29,4,42,29,385179205],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3009898,132.3252558,739-0513,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fef44e949-ffe3-49e1-bc26-3bb3c28a038e.jpg
883929, Kimono and Calligraphy Experience in Miyajima,"Activity take place in 300-year-old Zen temple.<br/>Being away from the tourist spot, this place is really quiet and relaxing.<br/><br/>Calligraphy has imported to Japan during 6C from China.<br/>Learn to draw the line with brush.<br/>Check the sample carefully to copy the Chinese charactor.<br/>We will ask your name so that we can prepare your name in Japanese Phonetics.<br/>Practice your name in Japanese.<br/>Write your letter on the rice scoop.<br/>Rice scoop(shamoji) is lucky item in Miyajima.<br/>Bring back the good luck with you!<br/><br/>You can take pictures as much as you want while you are in here, and we will take pictures of you doing the lessons. You can take pictures in our Japanese garden, too.<br/>Our lesson is very good introduction to the Japanese authentic cultures.<br/>Wearing kimono make it even more special that could be the highlight of your trip.<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,29,4,42,21,375266872],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3009898,132.3252558,739-0513,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3cc4aa31-d65e-4747-9551-71ae43a0e6bd.jpg
883930,"An Amazing set of Cultural experience: Kimono, Tea Ceremony and Calligraphy","Enjoy Japanese cultural lesson in 300-year old temple in Miyajima. We are located just about 5min walk from the Miyajima ferry port, yet a little off from busy tourist spot. You can enjoy the peaceful atmosphere of the temple. <br/><br/>We start the lesson with dressing you up with kimono. <br/><br/>Tea ceremony is conducted by our tea master in authentic tea room.<br/>We will guide you through the ceremony so that you will know what is going on.<br/>Taste sweet and matcha tea with proper manner.<br/>When the tea ceremony is done, now it is your part to make your own tea.Learn the name of the utensils and how to wisk Matcha tea.<br/><br/>Calligraphy has imported to Japan during 6C from China.<br/>Learn to draw the line with brush.<br/>Check the sample carefully to copy the Chinese character.<br/>Write your letter and name on the rice scoop.<br/>Rice scoop(shamoji) is lucky item in Miyajima.<br/><br/>We will take the pictures while you do the lessons and you can get them by answering our questionnaire.<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,31,4,51,29,30461881],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]},{""id"":null,""created"":[2024,7,31,4,51,29,30466291],""guidanceType"":""READING_MATERIAL"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3012483,132.3252227,739-0588,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F0ed1b50b-38fa-4112-ba5f-c400da0c1653.jpg
883931,"Cultural Activities :Kimono, tea ceremony, Calligraphy and Amulet","Enjoy Japanese cultural lesson in 300-year old temple in Miyajima. We are located just about 5min walk from the ferry port, yet a little off from busy tourist spot. You can enjoy the peaceful atmosphere of the temple.  <br/><br/>We start the lessons with dressing you up with kimono.  <br/><br/>Tea ceremony is conducted by our tea master in authentic tea room.<br/>We will guide you through the ceremony so that you will know what is going on.<br/>Taste sweet and matcha tea with proper manner.<br/>When the tea ceremony is done, now it is your part to make your own tea.<br/><br/>Calligraphy has imported to Japan during 6C from China.<br/>Learn to draw the line with brush.<br/>Check the sample carefully to copy the Chinese character.<br/>Write your letter and name on the rice scoop.<br/>Rice scoop(shamoji) is lucky item in Miyajima.<br/><br/>Make original amulet just for you. <br/>Choose amulet case and string of your liking.<br/>Write or stamp the wish to mini rice scoop.<br/>Put everything together to make amulet.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,30,4,46,17,995395571],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]},{""id"":null,""created"":[2024,7,30,4,46,17,995400608],""guidanceType"":""READING_MATERIAL"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3012483,132.3252227,739-0588,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F46fb65cd-076f-4ef1-974a-c03dfb6cf079.jpg
883947,Calligraphy,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Calligraphy has imported to Japan during 6C  from China.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Learn to draw the line with brush.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Check the sample carefully to copy the Chinese character.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">We will ask your name so that we can prepare your name in Japanese Phonetics.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Practice your name in Japanese.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Write your letter on the rice scoop.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Rice scoop(shamoji) is lucky item in Miyajima.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Bring back the good luck with you!</p>",,34.3013398,132.3251955,739-0588,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F8d8c211b-c001-4151-9d8d-6228deec04ef.jpeg
884743,Tea Ceremony Experience,"With the help of our tea instructor, experience the authentic tea ceremony. <br/>First half of the lesson will be tea ceremony. See how tea instructor use the utensils and conduct the tea ceremony. Matcha tea and sweet will be served and learn how to drink with proper manner. <br/>Feel free to ask any questions.<br/>In the second half of the lesson, try ""Bon Ryaku Temae"" the simplist tea ceremony for beginners. Learn the name of the utensils in Japanese, learn how to arrange them on the tray, learn how to whisk Matcha tea. <br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,30,6,27,4,612174442],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3013398,132.3251955,739-0588,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fd4d20e35-78da-4fc7-871d-db97ce94ec35.jpg
885509,Original Omamori Charm Making Experience,"There are a lot of temples and shrines in Japan and sell all the different kind of amulets. But never to offer how to make it. <br/><br/>At okeikoJapan, you will learn how it is made and make the one in the world original amulet of your own. <br/>Also you will learn the basic manner in the temple.<br/><br/>Choose amulet case and string of your liking.<br/>Amulet cases are made by old kimono that no longer worn.<br/>Write or stamp the wish to mini Shamoji(rice scoop).<br/>Shamoji is one of Miyajima's speciality item.<br/>Put everything together to make amulet.<br/><br/>Our location is a little off from the tourist spot, so everyone will enjoy <br/>quiet and peaceful atmosphere of the temple. <br/>Temple is surrounded by full of nature.<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,30,4,46,20,614528266],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.3013398,132.3251955,739-0588,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fbd64a4d3-c7ff-40d9-91a5-46bbcf366aaa.jpg
