"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
874990,Nijo Castle Samurai Culture Experience with a Fun Expert Guide,"Let's explore the Shogun's Nijo Castle together in this insightful and entertaining 3 hour walking tour. We will guide you through the history, culture, and lifestyle of the Samurai while we explore the World Heritage site. <br/><br/>You will have fun experiencing Nijo-jo Castle in a way not possible on your own or with large tour groups. The top guide will answer all your questions in detail and share insightful knowledge not available elsewhere.<br/><br/>Morning or Afternoon starting time slots (book at your convenience!)<br/><br/>Private tour <br/><br/>Includes all admission tickets<br/><br/>Top guide will share fun insights that you can't get on your own or other tours<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,5,28,10,19,10,441772000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0140379,135.7484258,604-8301,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc57cfcb8-3ac1-4726-b195-0212c9e70db9.jpg
880338,"Arashiyama Bamboo & ""Must See"" Gardens with an Amazing Guide","Let's explore Kyoto's Arashiyama area in this walking tour covering the famous Bamboo Forest, Tenryu-ji Temple, Okouchi Sanso (or Monkey Park), and more. The expert guide will show you Arashiyama and Japanese culture in native, clear English so everything will be easy to understand. The friendly guide will show you insights into Japanese culture, Temples, and Japanese gardens, while you enjoy the relaxing ambience of the Arashiyama Park area.<br/><br/>This is a Private Tour (no other guests)<br/><br/>Optional: Visit Monkey Park instead of Okouchi Sanso (if you prefer Monkey Park just let the Guide know at the start of tour)<br/><br/>Morning or Afternoon start times (book at your convenience)<br/><br/>All admission fees are included","{""guidanceTypes"":[{""id"":null,""created"":[2024,9,11,1,26,51,503883898],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",35.0150658,135.6779959,616-8384,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3958c23d-6a78-4c6c-b981-748820f0341f.jpg
885284,Nishiki Market Kyoto Foodie Tour with Expert Guide,"Experience Kyoto's diverse food history & culture with a fully native English speaking expert guide. Let's start the tour by visiting the Nishiki Tenmangu Shrine at the entrance the market, then stroll through the vibrant Nishiki Market while sampling some of the best, local favorite foods. After the Nishiki Market, we will experience the amazing Daimaru ""Depachika,"" which will tempt you with the endless selection of the best food in the world.<br/><br/>This is a PRIVATE tour<br/><br/>The guide will a choose a minimum of 3 food samplings<br/><br/>We will cater to dietary restrictions as much as possible (but please be understanding that the selection will be more limited)","{""guidanceTypes"":[{""id"":null,""created"":[2024,6,27,16,32,26,106246000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0039807,135.7696116,600-8001,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fe1ecd7f2-d58e-47ce-b015-74d1b28b6735.jpg
885697,"Geisha Streets & ""Real Kyoto"" Magical Night (w/Kyoto Snack)","Two Times Available: 12:00noon DAY or 5:20pm NIGHT Tour<br/><br/>Let's explore the Gion District geisha streets and take a deep dive into the ""real Kyoto"" in this magical, night walking tour. The expert guide will share with you all the hidden details of the closed world of geishas and mysterious Shinto shrines.<br/><br/>This is a walking tour going through several geisha districts, shrines, and beautifully preserved historic districts of Kyoto's Higashiyama area. The tour is about 3hr 30m.<br/><br/>The guide is an expert, speaking very clear & easy to understand, native English. The guide is extremely knowledgeable and will be able to answer all your questions in detail.<br/><br/>The guide will select a refreshing Kyoto snack during the break. (a small snack, not a full meal...will make every effort to cater to dietary restrictions such as vegetarian, vegan as well)<br/><br/>You will get deep insight into the Japanese way-of thinking, culture, and traditions that can't be experienced on other tours.","{""guidanceTypes"":[{""id"":null,""created"":[2024,6,28,16,44,40,102385000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0039807,135.7696116,600-8001,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F1fdb1236-1b74-47ee-9675-a9e4cabc95c9.jpg
886517,Fushimi Inari Deep Shinto Shrine Tour while Hiking with Expert ,"Let's take a deep dive into Shinto and Japanese traditions while exploring the World Heritage site, Fushimi Inari Taisha Shrine. The expert guide will take you on a memorable journey through the famous torii gates and beyond, while unravelling the mysteries of ancient Japan.<br/><br/>The tour includes a detailed explanation of all the important features of the main shrine complex.<br/><br/>The tour route includes passing through the famous red torii gates for excellent picture opportunities.<br/><br/>The tour includes hiking up the full courses of the sacred Mt. Inariyama.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,1,18,49,13,280247000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.9670575,135.7708374,612-0881,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc9504dc3-4173-49b7-bd6b-3f961a8e338a.jpg
958273,Full Kyoto Magical Experience 1 Day Tour,"This is the ultimate tour where you will experience the full essence of Kyoto in 1 day.<br/><br/>Go deep into the most beautiful shrines and find how they are unique in the world. Explore the enchanting temples, dream-like Japanese gardens, must-see samurai castle all with the super knowledgeable, expert guide answering all your questions and providing fun, insightful, and unique commentary only shared on this tour. This tour even includes a ""foodie tour"" with mouthwatering food samplings included from the historic Nishiki Market!<br/><br/>This is NOT a ""go! go! go!"" tour quickly hopping from one spot to the next. Imagine you had a nice friend, who is local to Kyoto, take you around the best spots and share with you the love for Japan. This IS that tour, and this is for those who want to experience the ""real"" Japan, the ""magic"" of Kyoto making your precious time in Japan a memorable experience.<br/><br/>PRIVATE TOUR<br/><br/>Transportation, a combination of public & taxi (included)<br/><br/>* Itinerary subject to change<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2025,1,6,1,46,58,881053330],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.9866017,135.7570094,600-8799,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8b692284-f91a-45d9-9974-c825625dfa6c.jpg
1039672,Nara Full Day Private Tour,,"{""guidanceTypes"":[]}",34.98608074,135.7586113,6008216,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5301b793-c33e-4ad1-a30e-23ea910f6124.jpeg
