"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
793412,里山Traditinal Lifeエクスペリエンス（英語ガイド付き一汁一菜&おくどさん調理体験　2泊3日宿泊プラン）@一汁一菜の宿　ちゃぶダイニング,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">オールインクルーシブ&#xff08;宿泊、体験、ガイド、食事、お土産、ローカルとの交流&#xff09;、&#xff11;日&#xff11;組限定のおもてなし、ホスト兼ガイドとの対話、地元住民との交流、<br />京都&#xff5e;城崎温泉のルート上&#xff08;JR沿線&#xff09;、里山&#xff06;田園に囲まれた古民家、各種体験&#xff08;囲炉裏を囲んで食事・一汁一菜の調理・農作業・おくどさん調理・ほうじ茶作り&#xff09;、<br />自家製お米&#xff06;味噌・地元の野菜をふんだんに使用</p>",,35.36575,135.2015,6230464,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F15f096f2-581b-4dbd-bb97-45749a541437.jpeg
794490,里山Walkingエクスペリエンス（英語ガイド付きWalkingツアー＆農泊体験　2泊3日宿泊プラン）＠一汁一菜の宿　ちゃぶダイニング,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">オールインクルーシブ&#xff08;宿泊、体験、ガイド、食事、お土産、ローカルとの交流&#xff09;、&#xff11;日&#xff11;組限定のおもてなし、ホスト兼ガイドとの対話、地元住民との交流、<br />京都&#xff5e;城崎温泉のルート上&#xff08;JR沿線&#xff09;、里山&#xff06;田園に囲まれた古民家、各種体験&#xff08;一汁一菜の調理・囲炉裏を囲んで食事・農作業・里山ウォーキング&#xff09;、<br />自家製お米&#xff06;味噌・地元の野菜をふんだんに使用</p>",,35.3657,135.2017,6230364,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Faafd12dc-2200-425d-b717-86c0364f5e07.jpeg
