id,content_url,vid,metadata
1EobbaLU5ElnjZSUB3L7e,https://www.youtube.com/watch?v=JTwR43FmBSY,KE0zJMt_btoEAVK_piTGN,"{""channel_id"":""UC4onwMScAwqvQyVSibQvRKw"",""channel_name"":""おきなわ さんぽ Okinawa Walk""}"
RUk5mTSFRh2DTCxsetMcG,https://www.youtube.com/watch?v=BZfDcfgtS3E,Zap5PVgrkTz0CjASBXPtj,"{""channel_id"":""UC36VBOJ0Y0KHajbYlkSTbbw"",""channel_name"":""京都・福知山市【公式】""}"
-BrfRzolWMHJwlXeVjPli,https://www.youtube.com/watch?v=r290EN3o-nI,7IMzyijsxyjh0eRIM1HQ4,"{""channel_id"":""UCQDKpfTS6haXS6BAHebR8Hw"",""channel_name"":""It's Time to Travel🇯🇵  / 旅する時間""}"
jcsPqh27JBaQHIjq4P3dy,https://www.youtube.com/watch?v=z37NnuDZSq0,r8ihbgFqRg8h9Gu0xI7VP,"{""channel_id"":""UCNW_H9_WCc-KvSqm2jlPcrw"",""channel_name"":""わかやま観光"",""based_on_title"":true}"
LXIP71h9Tv7c253jdIWKz,https://www.youtube.com/watch?v=G9ZaZbSjzn4,I0BLWid9_GT0W1f8Q5AS_,"{""channel_id"":""UCGSo9Ce23N7KvBOUF5SrDjA"",""channel_name"":""Tokyo Cheapo""}"
qLAiRJX57vxktANnIPF9F,https://www.youtube.com/watch?v=vNDL2jHLC5w,_WdqL8HXnmdX0Wzf8PwD_,"{""channel_id"":""UCipaQVaBC3tapc0XrDBhE4A"",""channel_name"":""みなみあそ観光局""}"
p4jih5xeicxXF90Ojpvyo,https://www.youtube.com/watch?v=1desvCtMJgI,mnIQ5eexjIopbErgDDyJU,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
G1pSttWNX0wenJFmP5jiG,https://www.youtube.com/watch?v=JTN8ZIgTajM,tunLyU5cS2VJHX3MUikmO,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
1R7oAFzetfM26ufkDfPAq,https://www.youtube.com/watch?v=87Lqm31H3QU,fLCiuZyLuEC6uCkd5OsV_,"{""channel_id"":""UCpCgnz_1a-ezid0Yel8FJwg"",""channel_name"":""「日本秘湯を攻める会」Driving Japan""}"
vpUw8SXQDOwdAOz_0sxO4,https://www.youtube.com/watch?v=TBvUjg2-uHs,UrtU7h8J28hAnqxWccvIZ,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
Bc-YPqv9XQfqJCJlJ9lLm,https://www.youtube.com/watch?v=NCM3tE50wlQ,RqyjKOEyND4J71tv9fWrv,"{""channel_id"":""UCI9fiY2YyUCAFMWF9jWar0g"",""channel_name"":""Japan Travel \""Mie\""""}"
2-Il20fNmkMcnItVb6kR1,https://www.youtube.com/watch?v=XZR_vEW3pFU,qmYMY33EdCRtp68EMntA5,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
sF9Zlh1ekaaWof9M-WV-x,https://www.youtube.com/watch?v=IQVAYi82dqs,YT3aRnfCasADOafm6DhHy,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
CWk643oxJp_Dkztb4mUsb,https://www.youtube.com/watch?v=dP21MjDQMHI,vFdtF6BK4b8cZIkIm36Np,"{""channel_id"":""UCJx1r26D2GC3lxFLFrHmswg"",""channel_name"":""森の京都公式チャンネル_Woodland Kyoto""}"
Sqm5jzgTJzYu6A7DEqZ07,https://www.youtube.com/watch?v=YUkP0iuJmsc,Iwd5OIc3v8ZN1paxbuCuv,"{""channel_id"":""UCGSo9Ce23N7KvBOUF5SrDjA"",""channel_name"":""Tokyo Cheapo"",""based_on_title"":true}"
eadB-SwjK2QOtyUBpnuLW,https://www.youtube.com/watch?v=sUq5LHVZLaw,2kLx2h2c3ihxl4KhrG_eu,"{""channel_id"":""UCfbgRy9Nfopk2lFxAVdA_-g"",""channel_name"":""ヨロン島 | Yoron Island Japan""}"
heXvqicOMCGOJga1XEJBC,https://www.youtube.com/watch?v=ysfa9N9oe-k,7oDM-RaitVHaQ9pZ--CV5,"{""channel_id"":""UC5xDyseoy_S3txh6rkB_uTw"",""channel_name"":""宇久町観光協会""}"
